Feed Flow (m3/hr),Feed Pressure(bar),Feed Temperature,Feed water pH,Specific Energy(kwh/m3),Flux(lmh),Pass Stage,Pressure Vessel,Elements,Element age(years),Recovery(%),Ca_FW,Mg_FW,Na_FW,K_FW,NH4_FW,Ba_FW,Sr_FW,H_FW,CO3_FW,HCO3_FW,SO4_FW,Cl_FW,F_FW,NO3_FW,PO4_FW,OH_FW,SiO2_FW,B_FW,CO2_FW,NH3_FW,Feed Water TDS,"CaSO4 / ksp * 100, %_FW","SrSO4 / ksp * 100, %_FW","BaSO4 / ksp * 100, %_FW","SiO2 saturation, %_FW","CaF2 / ksp * 100, %_FW",Ca_P,Mg_P,Na_P,K_P,NH4_P,Ba_P,Sr_P,H_P,CO3_P,HCO3_P,SO4_P,Cl_P,F_P,NO3_P,PO4_P,OH_P,SiO2_P,B_P,CO2_P,NH3_P,Permeate TDS,Ca_C,Mg_C,Na_C,K_C,NH4_C,Ba_C,Sr_C,H_C,CO3_C,HCO3_C,SO4_C,Cl_C,F_C,NO3_C,PO4_C,OH_C,SiO2_C,B_C,CO2_C,NH3_C,Concentrate TDS,"CaSO4 / ksp * 100, %_C","SrSO4 / ksp * 100, %_C","BaSO4 / ksp * 100, %_C","SiO2 saturation, %_C","CaF2 / ksp * 100, %_C"
42.00,8.90,35.00,7.10,14.14,27.60,1.00,6.00,5.00,3.00,85.50,2.73,3.27,190.08,13.17,0.00,0.00,0.00,0.00,0.00,0.00,4.38,316.19,0.00,0.00,0.00,,0.00,0.00,0.00,,529.82,0.01,0.00,0.00,0.00,0.00,0.45,0.54,33.03,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.72,54.90,0.00,0.00,0.00,,0.00,0.00,0.00,,91.99,18.75,22.47,1294.13,89.28,0.00,0.00,0.00,0.00,0.00,0.00,30.11,2153.09,0.00,0.00,0.00,,0.00,0.00,0.00,,3607.82,0.07,0.00,0.00,0.00,0.00
46.28,9.78,32.00,7.10,15.40,28.12,1.00,6.00,5.00,3.00,88.00,2.73,3.27,190.08,13.17,0.00,0.00,0.00,0.00,0.00,0.00,4.38,316.19,0.00,0.00,0.00,,0.00,0.00,0.00,,529.82,0.01,0.00,0.00,0.00,0.00,0.70,0.83,49.95,3.51,0.00,0.00,0.00,0.00,0.00,0.00,1.12,83.05,0.00,0.00,0.00,,0.00,0.00,0.00,,139.15,22.63,27.11,1561.76,107.74,0.00,0.00,0.00,0.00,0.00,0.00,36.34,2598.38,0.00,0.00,0.00,,0.00,0.00,0.00,,4353.96,0.09,0.00,0.00,0.00,0.00
100.00,31.04,25.00,7.00,126.43,24.01,1.00,14.00,6.00,3.00,75.00,398.00,335.00,1005.00,81.00,0.00,0.00,0.00,0.00,0.17,171.51,220.00,3042.45,0.00,0.00,0.00,,20.00,0.00,18.73,,5273.14,6.71,0.00,0.00,15.97,0.00,0.74,0.59,7.81,1.06,0.00,0.00,0.00,0.00,0.00,2.33,0.26,14.68,0.00,0.00,0.00,,0.16,0.00,18.74,,27.63,1586.35,1335.35,3988.00,320.12,0.00,0.00,0.00,0.00,2.55,674.48,877.33,12099.72,0.00,0.00,0.00,,79.34,0.00,19.59,,20963.24,37.21,0.00,0.00,63.16,0.00
116.25,60.71,35.00,7.50,284.23,13.03,1.00,16.00,6.00,3.00,40.00,900.20,1342.00,13340.42,664.67,0.00,0.00,0.00,0.00,0.00,0.01,2496.00,24840.38,0.00,0.00,0.00,,0.00,0.00,0.00,,43583.69,38.04,0.00,0.00,0.00,0.00,3.20,3.83,222.39,15.40,0.00,0.00,0.00,0.00,0.00,0.00,5.12,369.96,0.00,0.00,0.00,,0.00,0.00,0.00,,619.90,1496.85,2232.10,22065.89,1096.53,0.00,0.00,0.00,0.00,0.00,0.01,4152.84,41116.94,0.00,0.00,0.00,,0.00,0.00,0.00,,72161.16,71.14,0.00,0.00,0.00,0.00
42.00,9.11,35.00,7.10,14.47,27.60,1.00,6.00,5.00,3.00,85.50,3.20,3.83,222.39,15.40,0.00,0.00,0.00,0.00,0.00,0.00,5.12,369.96,0.00,0.00,0.00,,0.00,0.00,0.00,,619.90,0.01,0.00,0.00,0.00,0.00,0.53,0.63,38.70,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.84,64.33,0.00,0.00,0.00,,0.00,0.00,0.00,,107.78,21.96,26.29,1512.71,104.28,0.00,0.00,0.00,0.00,0.00,0.00,35.17,2516.87,0.00,0.00,0.00,,0.00,0.00,0.00,,4217.28,0.09,0.00,0.00,0.00,0.00
697.50,54.89,22.00,7.00,1359.39,13.75,1.00,78.00,7.00,3.00,40.00,1500.00,6500.00,3000.01,0.00,0.00,0.00,0.00,0.00,0.83,446.23,4000.00,23030.23,0.00,0.00,0.00,,2.50,0.00,22.99,,38479.88,85.14,0.00,0.00,2.00,0.00,2.56,10.38,24.66,0.00,0.00,0.00,0.00,0.00,0.00,3.91,3.93,67.81,0.00,0.00,0.00,,0.02,0.00,23.23,,113.28,2495.88,10815.95,4978.76,0.00,0.00,0.00,0.00,0.00,2.02,739.27,6657.60,38301.46,0.00,0.00,0.00,,4.15,0.00,23.16,,63995.21,159.12,0.00,0.00,3.31,0.00
697.50,67.38,22.00,7.00,1668.48,13.74,1.00,78.00,7.00,3.00,40.00,1500.00,6500.00,6486.75,0.00,0.00,0.00,0.00,0.00,0.89,447.42,4000.00,28406.40,0.00,0.00,0.00,,2.50,0.00,21.12,,47344.03,76.93,0.00,0.00,2.00,0.00,2.09,8.47,44.21,0.00,0.00,0.00,0.00,0.00,0.00,3.31,3.19,92.47,0.00,0.00,0.00,,0.02,0.00,21.40,,153.76,2494.87,10811.51,10765.69,0.00,0.00,0.00,0.00,0.00,2.13,741.25,6654.58,47211.74,0.00,0.00,0.00,,4.15,0.00,21.27,,78686.03,143.45,0.00,0.00,3.31,0.00
697.50,51.06,34.00,7.00,1264.54,13.75,1.00,78.00,7.00,3.00,40.00,1500.00,6500.00,3000.00,0.00,0.00,0.00,0.00,0.00,1.05,444.61,4000.00,23030.90,0.00,0.00,0.00,,2.50,0.00,20.03,,38479.12,84.89,0.00,0.00,1.99,0.00,3.91,15.82,37.60,0.00,0.00,0.00,0.00,0.00,0.00,5.74,5.93,103.41,0.00,0.00,0.00,,0.03,0.00,20.33,,172.44,2495.05,10812.62,4970.28,0.00,0.00,0.00,0.00,0.00,2.50,735.07,6656.45,38279.92,0.00,0.00,0.00,,4.14,0.00,20.29,,63956.15,158.57,0.00,0.00,3.30,0.00
697.50,64.99,34.00,7.00,1609.31,13.75,1.00,78.00,7.00,3.00,40.00,1500.00,6499.99,6486.74,0.00,0.00,0.00,0.00,0.00,1.11,445.27,4000.00,28407.34,0.00,0.00,0.00,,2.50,0.00,18.37,,47343.02,76.68,0.00,0.00,1.99,0.00,4.01,16.23,84.45,0.00,0.00,0.00,0.00,0.00,0.00,5.95,6.06,176.84,0.00,0.00,0.00,,0.04,0.00,18.73,,293.57,2494.26,10809.23,10741.76,0.00,0.00,0.00,0.00,0.00,2.63,735.76,6654.45,47169.79,0.00,0.00,0.00,,4.14,0.00,18.61,,78612.14,142.98,0.00,0.00,3.30,0.00
6.00,23.62,25.00,7.00,4.75,13.16,1.00,6.00,5.00,3.00,55.00,1013.60,264.98,2217.19,0.00,0.00,0.00,0.00,0.00,0.06,49.21,0.00,5919.31,0.00,0.00,65.00,,136.00,0.00,4.76,,9665.40,0.00,0.00,0.00,108.61,0.00,4.19,1.08,38.09,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,68.57,0.00,0.00,0.59,,2.48,0.00,5.49,,116.09,2248.03,587.71,4882.08,0.00,0.00,0.00,0.00,0.00,0.17,103.66,0.00,13074.35,0.00,0.00,143.76,,299.29,0.00,7.00,,21339.16,0.00,0.00,0.00,238.91,0.00
6.00,21.55,25.00,7.00,4.33,14.53,1.00,1.00,5.00,3.00,45.00,1013.60,264.98,2217.19,0.00,0.00,0.00,0.00,0.00,0.06,49.21,0.00,5919.31,0.00,0.00,65.00,,136.00,0.00,4.76,,9665.40,0.00,0.00,0.00,108.61,0.00,2.00,0.52,18.25,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,32.84,0.00,0.00,0.29,,1.18,0.00,5.23,,55.79,1841.04,481.30,4015.85,0.00,0.00,0.00,0.00,0.00,0.13,86.08,0.00,10734.23,0.00,0.00,117.93,,246.28,0.00,6.36,,17522.93,0.00,0.00,0.00,196.61,0.00
6.00,19.76,25.00,7.00,3.97,14.35,1.00,6.00,5.00,3.00,60.00,560.00,146.40,1222.08,0.00,0.00,0.00,0.00,0.00,0.02,21.84,0.00,3266.91,0.00,0.00,40.00,,76.00,0.00,2.41,,5333.30,0.00,0.00,0.00,60.70,0.00,2.15,0.55,18.88,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,34.19,0.00,0.00,0.34,,1.24,0.00,2.84,,57.91,1395.62,364.87,3024.38,0.00,0.00,0.00,0.00,0.00,0.07,50.64,0.00,8109.28,0.00,0.00,99.41,,187.99,0.00,3.97,,13232.38,0.00,0.00,0.00,150.08,0.00
136.47,21.28,25.00,7.00,142.99,16.32,1.00,33.00,6.00,3.00,88.00,21.60,2.44,1761.10,0.00,0.00,0.00,0.00,0.00,0.05,53.60,100.00,2656.11,0.00,0.00,0.00,,10.00,0.00,6.28,,4604.91,0.23,0.00,0.00,7.99,0.00,0.04,0.00,24.16,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.28,36.70,0.00,0.00,0.00,,0.14,0.00,6.25,,62.33,179.25,20.25,14464.33,0.00,0.00,0.00,0.00,0.00,2.77,434.87,829.28,21813.28,0.00,0.00,0.00,,82.08,0.00,7.27,,37826.12,3.10,0.00,0.00,65.15,0.00
49.17,38.60,25.00,7.00,89.83,17.65,1.00,9.00,6.00,3.00,72.00,106.63,16.22,4265.29,0.00,0.00,0.00,0.00,0.00,1.02,878.75,664.74,5811.03,0.00,0.00,0.00,,33.11,0.00,85.38,,11776.78,3.63,0.00,0.00,26.44,0.00,0.13,0.02,35.25,0.00,0.00,0.00,0.00,0.00,0.00,7.91,1.24,49.39,0.00,0.00,0.00,,0.30,0.00,86.25,,94.23,380.78,57.92,15153.89,0.00,0.00,0.00,0.00,0.00,11.51,3105.19,2372.66,20642.12,0.00,0.00,0.00,,117.58,0.00,88.26,,41841.66,17.51,0.00,0.00,93.65,0.00
16.38,63.11,25.00,7.00,40.02,12.24,1.00,3.00,6.00,3.00,50.00,180.90,20.40,14465.98,0.00,0.00,0.00,0.00,0.00,0.66,404.98,833.20,21836.45,0.00,0.00,0.00,,82.08,0.00,26.30,,37824.66,3.14,0.00,0.00,65.53,0.00,0.20,0.02,130.01,0.00,0.00,0.00,0.00,0.00,0.00,3.97,1.34,197.80,0.00,0.00,0.00,,0.79,0.00,26.61,,334.13,360.98,40.71,28752.72,0.00,0.00,0.00,0.00,0.00,2.30,802.83,1662.22,43400.78,0.00,0.00,0.00,,163.09,0.00,26.54,,75185.62,7.35,0.00,0.00,130.13,0.00
17.22,20.91,25.00,7.00,13.77,13.13,1.00,4.00,6.00,3.00,68.00,143.80,45.37,2746.13,0.00,0.00,0.00,0.00,0.00,0.33,312.78,664.24,3949.15,0.00,0.00,0.00,,33.10,0.00,32.93,,7894.91,6.38,0.00,0.00,26.44,0.00,0.24,0.08,30.42,0.00,0.00,0.00,0.00,0.00,0.00,3.87,1.35,44.51,0.00,0.00,0.00,,0.39,0.00,33.04,,80.85,448.73,141.58,8514.29,0.00,0.00,0.00,0.00,0.00,3.04,965.27,2072.23,12242.59,0.00,0.00,0.00,,102.57,0.00,33.84,,24490.29,26.17,0.00,0.00,81.71,0.00
12.93,71.01,25.00,7.00,30.78,13.06,1.00,2.00,6.00,3.00,45.00,380.79,57.92,15154.14,0.00,0.00,0.00,0.00,0.00,4.97,2927.53,2372.70,20753.62,0.00,0.00,0.00,,117.59,0.00,181.62,,41769.26,17.51,0.00,0.00,93.88,0.00,0.38,0.06,118.21,0.00,0.00,0.00,0.00,0.00,0.00,23.85,3.74,166.72,0.00,0.00,0.00,,1.00,0.00,184.93,,313.96,691.63,105.20,27440.54,0.00,0.00,0.00,0.00,0.00,14.49,5289.30,4308.48,37575.90,0.00,0.00,0.00,,212.86,0.00,182.59,,75638.41,36.44,0.00,0.00,169.86,0.00
5.50,45.41,25.00,7.00,8.37,12.33,1.00,1.00,6.00,3.00,50.00,448.73,141.58,8514.34,0.00,0.00,0.00,0.00,0.00,1.32,916.49,2072.24,12273.21,0.00,0.00,0.00,,102.57,0.00,70.05,,24470.50,26.17,0.00,0.00,81.90,0.00,0.57,0.18,81.09,0.00,0.00,0.00,0.00,0.00,0.00,9.21,3.27,119.02,0.00,0.00,0.00,,1.06,0.00,70.78,,214.40,895.90,282.67,16928.92,0.00,0.00,0.00,0.00,0.00,4.77,1817.56,4136.64,24400.47,0.00,0.00,0.00,,203.86,0.00,70.75,,48670.80,61.46,0.00,0.00,162.61,0.00
70.59,33.46,20.00,7.78,130.00,19.21,1.00,12.00,7.00,3.00,85.00,200.00,214.90,3295.00,0.00,0.10,0.03,0.00,0.00,1.54,245.06,2100.00,4361.00,1.40,6.11,0.00,,0.00,6.39,4.22,,10431.60,21.19,0.00,267.78,0.00,15.90,0.19,0.20,21.15,0.00,0.01,0.00,0.00,0.00,0.00,1.88,2.76,30.42,0.01,0.06,0.00,,0.00,1.81,5.45,,58.51,1326.12,1424.90,21745.97,0.00,0.62,0.20,0.00,0.00,25.50,1583.96,13919.79,28767.52,9.21,40.19,0.00,,0.00,32.18,8.88,,68876.62,218.49,0.00,2282.02,0.00,2081.62
20.00,34.59,20.00,7.78,27.68,22.42,1.00,3.00,6.00,3.00,75.00,1398.98,214.90,3213.75,0.00,0.10,0.00,0.00,0.00,1.70,244.66,2464.25,6036.99,28.72,6.11,0.00,,0.00,6.39,3.82,,13616.55,132.04,0.00,0.00,0.00,40322.06,1.61,0.19,20.56,0.00,0.01,0.00,0.00,0.00,0.00,1.72,2.12,32.05,0.28,0.06,0.00,,0.00,1.68,4.61,,60.27,5582.10,857.66,12772.74,0.00,0.38,0.00,0.00,0.00,13.40,958.30,9834.79,24013.13,113.87,24.23,0.00,,0.00,20.48,6.39,,54191.08,728.34,0.00,0.00,0.00,1425479.00
70.59,28.38,35.00,7.78,113.77,19.22,1.00,12.00,7.00,3.00,85.00,200.00,214.90,3295.00,0.00,0.10,0.03,0.00,0.00,2.04,243.48,2100.00,4361.00,1.40,6.11,0.00,,0.00,6.39,3.54,,10430.52,21.12,0.00,266.77,0.00,15.87,0.42,0.46,48.20,0.00,0.02,0.00,0.00,0.00,0.00,4.08,6.22,69.36,0.03,0.14,0.00,,0.00,3.35,4.65,,132.28,1327.00,1425.83,21629.23,0.00,0.57,0.20,0.00,0.00,31.80,1562.21,13923.32,28595.30,9.12,39.80,0.00,,0.00,23.56,7.79,,68568.40,218.37,0.00,2280.28,0.00,2040.91
20.00,29.66,35.00,7.78,24.15,22.42,1.00,3.00,6.00,3.00,75.00,1398.98,214.90,3213.75,0.00,0.10,0.00,0.00,0.00,2.25,242.95,2464.25,6036.99,28.72,6.11,0.00,,0.00,6.39,3.19,,13615.39,131.59,0.00,0.00,0.00,40248.20,3.11,0.36,40.15,0.00,0.01,0.00,0.00,0.00,0.00,3.21,4.06,62.59,0.54,0.11,0.00,,0.00,2.89,3.91,,117.03,5574.24,856.63,12706.45,0.00,0.36,0.00,0.00,0.00,16.89,945.74,9823.07,23907.33,113.02,24.05,0.00,,0.00,16.87,5.56,,53984.66,725.30,0.00,0.00,0.00,1401248.00
3.64,37.47,25.00,7.05,4.57,23.94,1.00,2.00,5.00,3.00,55.00,1667.30,2.40,3174.22,0.00,0.00,0.00,0.00,0.00,8.16,5860.32,0.00,4403.89,0.90,55.20,0.00,,0.00,0.00,473.17,,15172.45,0.00,0.00,0.00,0.00,49.53,4.30,0.00,34.90,0.00,0.00,0.00,0.00,0.00,0.00,64.46,0.00,23.61,0.01,0.90,0.00,,0.00,0.00,478.39,,128.19,3701.79,5.33,7014.80,0.00,0.00,0.00,0.00,0.00,37.46,12911.94,0.00,9762.64,1.98,121.63,0.00,,0.00,0.00,480.54,,33557.69,0.00,0.00,0.00,0.00,383.92
17.00,21.86,25.00,7.00,12.46,16.76,1.00,3.00,5.00,3.00,55.00,422.87,237.06,1873.78,0.00,0.00,0.00,0.00,0.00,1.62,1530.09,249.76,3220.51,0.00,58.39,0.00,,99.62,0.00,160.54,,7693.70,6.97,0.00,0.00,79.56,0.00,0.88,0.44,16.08,0.00,0.00,0.00,0.00,0.00,0.00,13.53,0.32,19.40,0.00,0.74,0.00,,0.89,0.00,161.34,,52.29,937.85,525.83,4140.86,0.00,0.00,0.00,0.00,0.00,7.84,3372.43,554.18,7127.05,0.00,128.75,0.00,,220.11,0.00,162.53,,17014.89,18.71,0.00,0.00,175.51,0.00
17.80,20.95,25.00,7.00,12.50,15.96,1.00,3.00,5.00,3.00,50.00,422.87,237.06,1873.78,0.00,0.00,0.00,0.00,0.00,1.62,1530.09,249.76,3220.51,0.00,58.39,0.00,,99.62,0.00,160.54,,7693.70,6.97,0.00,0.00,79.56,0.00,0.89,0.45,16.22,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.33,19.58,0.00,0.75,0.00,,0.90,0.00,161.20,,52.76,844.41,473.44,3729.41,0.00,0.00,0.00,0.00,0.00,6.40,3038.72,498.94,6418.12,0.00,115.98,0.00,,198.24,0.00,162.06,,15323.66,16.43,0.00,0.00,158.11,0.00
4.56,24.41,25.00,7.00,3.73,13.63,1.00,4.00,5.00,3.00,50.00,395.54,163.14,2311.65,0.00,0.00,0.00,0.00,0.00,2.52,2274.83,2123.45,1848.38,0.00,0.00,0.00,,91.71,0.00,229.74,,9211.22,48.59,0.00,0.00,73.24,0.00,0.95,0.39,34.05,0.00,0.00,0.00,0.00,0.00,0.00,36.54,6.44,29.49,0.00,0.00,0.00,,1.55,0.00,231.10,,109.41,789.91,325.80,4588.00,0.00,0.00,0.00,0.00,0.00,9.78,4502.23,4239.29,3666.25,0.00,0.00,0.00,,181.82,0.00,231.84,,18303.09,114.59,0.00,0.00,145.01,0.00
12.26,30.69,25.00,7.00,12.61,13.74,1.00,2.00,6.00,3.00,50.00,399.08,243.44,5613.21,0.00,0.00,0.00,0.00,0.00,0.42,327.42,0.00,9881.67,0.00,0.00,0.00,,0.00,0.00,28.43,,16465.24,0.00,0.00,0.00,0.00,0.00,0.71,0.43,43.56,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,68.22,0.00,0.00,0.00,,0.00,0.00,28.42,,115.86,796.78,486.04,11173.39,0.00,0.00,0.00,0.00,0.00,1.59,650.23,0.00,19678.45,0.00,0.00,0.00,,0.00,0.00,28.69,,32786.47,0.00,0.00,0.00,0.00,0.00
37.12,19.25,25.00,7.00,31.47,14.42,1.00,9.00,6.00,3.00,78.00,100.00,61.00,1414.86,0.00,0.00,0.00,0.00,0.00,0.09,104.18,0.00,2476.10,0.00,0.00,0.00,,0.00,0.00,12.28,,4156.24,0.00,0.00,0.00,0.00,0.00,0.31,0.19,17.84,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.00,27.83,0.00,0.00,0.00,,0.00,0.00,12.20,,47.77,452.69,276.14,6357.18,0.00,0.00,0.00,0.00,0.00,1.88,465.12,0.00,11137.46,0.00,0.00,0.00,,0.00,0.00,12.86,,18690.49,0.00,0.00,0.00,0.00,0.00
